gate_id,epoch_time,trial_id
entrance,1745498271.3820362,7
right,1745498271.8828785,7
entrance,1745498273.8879733,7
right,1745498274.3882706,7
entrance,1745498668.4704292,7
left,1745498668.9712565,7
entrance,1745498742.7008832,8
right,1745498743.201679,8
entrance,1745498771.0774684,7
left,1745498771.5777626,7
entrance,1745498887.5388553,8
right,1745498888.0391936,8
entrance,1745498917.769786,8
left,1745498918.2700906,8
entrance,1745499027.0783792,8
left,1745499027.5786798,8
entrance,1745499213.6801667,7
right,1745499214.180463,7
entrance,1745499331.0477777,8
right,1745499331.5487885,8
entrance,1745500243.890788,4
right,1745500244.3910818,4
entrance,1745500274.1177752,4
right,1745500274.618285,4
entrance,1745500392.214655,3
right,1745500392.7149498,3
entrance,1745500424.028997,3
left,1745500424.5292907,3
entrance,1745500454.6890066,3
left,1745500455.1893008,3
entrance,1745500698.360009,3
left,1745500698.8608088,3
entrance,1745500836.9293563,3
left,1745500837.4296582,3
entrance,1745501060.2245977,4
left,1745501060.7253945,4
entrance,1745501363.6533186,4
left,1745501364.1540902,4
entrance,1745501376.1479867,4
left,1745501376.6482828,4
entrance,1745501488.4365432,3
left,1745501488.9368412,3
entrance,1745501517.6994567,4
right,1745501518.200503,4
entrance,1745501520.8104703,4
left,1745501521.3107495,4
entrance,1745502727.064867,1
left,1745502727.5653167,1
entrance,1745502739.5508003,1
right,1745502740.0517037,1
entrance,1745502786.6379466,1
left,1745502787.138276,1
entrance,1745502816.0434678,2
left,1745502816.5441575,2
entrance,1745502834.2877188,1
left,1745502834.7881293,1
entrance,1745503015.1535692,2
left,1745503015.653944,2
entrance,1745503268.288125,2
left,1745503268.7886403,2
entrance,1745503637.0508392,2
right,1745503637.551212,2
entrance,1745503997.273776,1
right,1745503997.774075,1
entrance,1745505197.4372544,5
left,1745505197.937549,5
entrance,1745505381.0929415,6
left,1745505381.59324,6
entrance,1745505524.9545264,6
left,1745505525.4548523,6
entrance,1745505908.1361687,3
left,1745505908.6365566,3
entrance,1745505910.668324,3
left,1745505911.1686077,3
entrance,1745505990.6149912,4
left,1745505991.115286,4
entrance,1745506105.033849,4
right,1745506105.5346138,4
entrance,1745506348.4550245,3
left,1745506348.9553196,3
entrance,1745506398.2458403,3
left,1745506398.7461355,3
entrance,1745506587.222095,4
left,1745506587.722436,4
entrance,1745506870.9532354,4
left,1745506871.454008,4
entrance,1745507354.7042387,3
right,1745507355.204536,3
entrance,1745508378.3827715,2
right,1745508378.88387,2
entrance,1745508381.57165,2
right,1745508382.0720513,2
entrance,1745508936.9796999,2
right,1745508937.480074,2
entrance,1745508940.428977,1
left,1745508940.9354262,1
entrance,1745508942.3130834,1
left,1745508942.8133645,1
entrance,1745508951.726573,1
left,1745508952.226866,1
entrance,1745509085.5185628,1
left,1745509086.0188596,1
entrance,1745509400.8985622,1
left,1745509401.3989322,1
entrance,1745511408.6375537,2
left,1745511409.1378531,2
entrance,1745511556.9899874,1
left,1745511557.4902852,1
entrance,1745511585.3361611,2
left,1745511585.8364625,2
