gate_id,epoch_time,trial_id
entrance,1744619387.6619751,8
left,1744619429.1490173,8
entrance,1744619429.259166,8
entrance,1744619429.277794,8
right,1744619477.9537606,8
right,1744619477.977598,8
entrance,1744619478.0965247,8
entrance,1744619535.0527363,8
left,1744619536.3798668,8
left,1744619536.4589028,7
right,1744619723.0673175,7
right,1744619723.0831811,7
entrance,1744619723.2107635,7
right,1744619723.4344757,8
right,1744619723.4496133,8
entrance,1744619723.5395005,8
entrance,1744620196.02391,8
entrance,1744620329.0774217,8
entrance,1744620337.5760937,8
entrance,1744620350.4399729,8
entrance,1744620362.0716684,8
entrance,1744620385.6278615,8
entrance,1744620396.5066798,8
entrance,1744620458.399584,8
left,1744620460.5819163,8
entrance,1744620536.786077,8
left,1744620538.6425455,8
entrance,1744620569.611028,8
left,1744620570.1482818,8
left,1744620575.951419,7
left,1744620580.0949063,7
left,1744620580.12793,7
left,1744620580.1629965,7
entrance,1744620581.2545562,7
left,1744620581.7218196,7
entrance,1744620621.380186,7
left,1744620621.8808,7
left,1744620634.4955604,7
left,1744620634.5154405,7
right,1744620753.12053,7
entrance,1744620794.6121237,7
left,1744620794.9453232,7
left,1744620800.768744,8
left,1744620800.8105333,8
left,1744620800.8365562,8
left,1744620886.8643866,8
left,1744620886.9090056,8
left,1744620886.9378374,8
entrance,1744620887.1183777,8
entrance,1744620887.1341794,8
entrance,1744620887.1492093,8
entrance,1744620908.0563295,8
left,1744620910.995309,8
left,1744621137.6064916,8
entrance,1744621138.1856446,8
entrance,1744621138.212116,7
entrance,1744621139.7216527,7
left,1744621139.9621308,7
right,1744621179.2104447,7
right,1744621179.223961,7
right,1744621179.2349238,7
right,1744621179.255648,7
right,1744621179.2679787,7
right,1744621179.2794728,7
right,1744621179.2956321,7
right,1744621179.3127384,7
right,1744621179.3451998,7
right,1744621179.3562517,7
right,1744621179.3754163,7
right,1744621179.3873446,7
right,1744621179.4068086,7
right,1744621179.4181345,7
right,1744621179.430456,7
right,1744621179.4492888,7
right,1744621179.4608603,7
right,1744621179.4716623,7
right,1744621179.5029216,7
right,1744621179.5328825,7
right,1744621179.5665505,7
right,1744621179.6179376,7
right,1744621179.6381721,7
right,1744621179.656464,7
right,1744621179.6770234,7
right,1744621179.697608,7
right,1744621179.7095668,7
right,1744621179.7201705,7
right,1744621179.7517421,7
right,1744621179.7905407,7
right,1744621179.8015995,7
right,1744621179.8136268,7
right,1744621179.8247929,7
right,1744621180.0431912,7
left,1744621294.7508652,3
right,1744621441.4041321,3
right,1744621441.798495,3
right,1744621442.227421,3
entrance,1744621677.1573465,3
left,1744621677.6077704,3
entrance,1744621739.9405088,4
entrance,1744621743.6648104,4
left,1744621744.528122,4
entrance,1744621751.2899714,4
left,1744621751.9361315,4
left,1744621752.5197353,4
entrance,1744621757.3305168,4
left,1744621757.6976125,4
left,1744621757.7086468,4
left,1744621757.7330139,4
left,1744621758.0384333,4
entrance,1744621766.235251,4
entrance,1744621766.9561255,4
left,1744621768.701685,4
left,1744621771.2047036,4
left,1744621771.231134,4
left,1744621771.9139779,4
entrance,1744621800.7551563,4
left,1744621801.0790539,4
left,1744621807.6090422,3
right,1744621824.6573322,3
entrance,1744621825.7134273,3
entrance,1744621825.802531,3
entrance,1744621825.8382301,3
entrance,1744621828.3142877,3
left,1744621829.3453348,3
entrance,1744621851.4056575,3
left,1744621851.6402953,3
left,1744622005.5598824,3
