gate_id,epoch_time,trial_id
entrance,1742897862.2153568,7
entrance,1742897862.2441247,7
entrance,1742897862.3297021,7
left,1742897862.4853947,7
left,1742897862.526281,7
left,1742897875.2516036,7
left,1742897875.282774,7
right,1742897887.481568,7
entrance,1742897887.5955052,7
entrance,1742897887.607905,8
entrance,1742897923.0324264,8
entrance,1742897923.085283,8
left,1742897923.3040197,8
left,1742897923.3275268,7
entrance,1742897923.880728,7
entrance,1742897923.8964932,7
left,1742897924.0030968,7
left,1742897924.0246675,7
entrance,1742898038.5123515,7
left,1742898038.7486224,8
left,1742898098.4043272,8
left,1742898098.4250267,8
entrance,1742898098.5213716,8
entrance,1742898098.5398996,7
left,1742898185.9268134,7
entrance,1742898258.483643,7
entrance,1742898258.5111692,7
left,1742898258.6381123,7
left,1742898258.6649134,7
left,1742898266.7225015,7
left,1742898310.9597652,7
left,1742898310.9764097,7
left,1742898310.9922585,7
entrance,1742898311.0814357,7
entrance,1742898372.1128807,7
left,1742898374.2019796,7
left,1742898374.2286355,8
entrance,1742898374.2963145,8
left,1742898374.516614,7
left,1742898374.5430405,7
left,1742898376.989898,7
entrance,1742898542.420995,7
left,1742898543.6247299,7
right,1742898636.448749,7
entrance,1742898637.073281,7
left,1742898666.3928,8
entrance,1742898666.8492234,8
entrance,1742898667.4673684,7
left,1742898671.338521,7
left,1742898671.3748395,8
entrance,1742898671.5505455,8
left,1742898674.8108294,7
entrance,1742898674.9570217,7
entrance,1742898790.3096106,7
entrance,1742898790.3524063,7
left,1742898790.462598,7
right,1742898793.4959605,8
right,1742898793.5200403,8
left,1742898795.4427888,8
entrance,1742898795.5411599,8
left,1742898798.8079603,7
left,1742898798.8311725,7
left,1742898798.8528538,7
entrance,1742898798.9648964,7
left,1742898858.1870522,8
left,1742898858.216759,8
left,1742898860.520114,8
left,1742898860.707155,8
entrance,1742898862.6895278,8
entrance,1742898899.6257381,8
left,1742898899.8427587,8
left,1742898899.8586168,7
entrance,1742898916.8669755,7
right,1742898936.197686,7
right,1742898953.0409307,7
entrance,1742898953.2474246,7
entrance,1742898989.2872202,8
left,1742898989.4105978,8
entrance,1742898989.7564313,8
left,1742898992.129859,8
left,1742899051.4317372,8
left,1742899051.4718983,8
entrance,1742899051.5939283,8
entrance,1742899051.6125815,8
entrance,1742899061.7839477,8
entrance,1742899061.9941056,8
left,1742899062.9682884,8
right,1742899144.0009484,8
entrance,1742899146.0218232,8
entrance,1742899146.1103778,7
entrance,1742899146.1210685,7
entrance,1742899442.8949955,7
right,1742899459.676529,7
entrance,1742899460.4230263,8
entrance,1742899460.4436357,8
entrance,1742899463.2247887,8
entrance,1742899505.1583571,8
left,1742899505.4291863,8
left,1742899505.4596364,8
entrance,1742899525.5988655,8
left,1742899525.7178214,7
left,1742899525.742005,7
left,1742899863.198122,4
left,1742899863.2253358,4
left,1742899863.2375665,4
left,1742899863.2630818,4
entrance,1742899863.3541691,4
entrance,1742899863.3699174,4
left,1742899863.9638312,4
left,1742899863.9844124,4
left,1742899864.0002668,4
entrance,1742899864.1066573,4
left,1742899864.7958274,3
entrance,1742899864.904107,3
entrance,1742899864.9286633,4
entrance,1742899907.4089918,4
entrance,1742899945.1460342,4
entrance,1742899945.163866,4
left,1742899945.2724748,4
left,1742899945.3113885,4
left,1742899974.7506971,4
left,1742899995.4789066,4
left,1742900040.0483212,4
left,1742900040.0642374,4
left,1742900040.0952647,4
entrance,1742900040.2065165,4
left,1742900040.4027379,4
entrance,1742900042.3157856,4
left,1742900042.3278468,4
left,1742900042.3561072,4
left,1742900042.582804,4
left,1742900056.4541624,4
left,1742900056.490243,4
left,1742900056.530203,4
left,1742900056.5742953,4
left,1742900056.6204531,4
left,1742900056.6642594,4
left,1742900056.7104685,4
left,1742900056.7515426,4
left,1742900056.7987113,4
left,1742900056.8434055,4
left,1742900057.1236029,4
left,1742900057.1634026,4
left,1742900057.2018487,4
left,1742900057.243433,4
left,1742900057.2835627,4
left,1742900057.424292,4
left,1742900057.4603353,4
left,1742900058.4227364,4
left,1742900061.3203397,4
entrance,1742900061.4667473,4
left,1742900062.8547764,4
left,1742900062.9372897,4
left,1742900063.1759746,4
left,1742900063.2588117,4
left,1742900063.5770557,4
left,1742900063.8161004,4
left,1742900068.0635326,4
left,1742900080.7502058,4
left,1742900080.7707407,4
left,1742900080.8438299,4
left,1742900090.0139258,4
left,1742900090.0615315,4
left,1742900092.763011,4
left,1742900092.783309,4
left,1742900092.842197,4
left,1742900093.1810474,4
left,1742900093.2250712,4
left,1742900093.266555,4
left,1742900098.417752,4
left,1742900098.4553993,4
left,1742900098.4935324,4
left,1742900098.5244124,4
left,1742900098.560014,4
left,1742900100.8150203,4
left,1742900100.8330116,4
left,1742900103.850036,4
left,1742900104.0907974,4
left,1742900104.1092508,4
entrance,1742900105.0801039,4
entrance,1742900105.1123178,4
entrance,1742900105.1405878,4
left,1742900105.3065324,4
left,1742900105.322635,4
left,1742900105.3399038,4
entrance,1742900105.5859854,4
entrance,1742900105.6132636,4
entrance,1742900105.6267755,4
left,1742900105.7583632,4
left,1742900175.672937,3
left,1742900175.714568,3
left,1742900175.7348073,3
left,1742900175.756441,3
left,1742900175.7767627,3
left,1742900175.8116,3
left,1742900175.8453023,3
left,1742900175.878655,3
left,1742900191.4440572,3
entrance,1742900192.7380505,3
left,1742900204.2387438,3
left,1742900204.285968,3
left,1742900204.327395,3
left,1742900229.720385,3
left,1742900230.0183165,3
left,1742900236.732746,3
left,1742900236.7503076,3
left,1742900236.762026,3
left,1742900296.7918267,3
left,1742900296.8132744,3
left,1742900296.8335438,3
left,1742900296.8813858,3
left,1742900296.9141395,3
left,1742900308.2848942,3
left,1742900308.6273856,3
left,1742900308.7826853,3
left,1742900309.703616,3
left,1742900309.738639,3
entrance,1742900310.5743642,3
left,1742900311.9457955,4
left,1742900318.5697458,4
left,1742900361.230877,4
left,1742900361.2620077,4
left,1742900361.299419,4
left,1742900361.3390188,4
left,1742900362.0072775,4
left,1742900362.0467412,4
entrance,1742900362.091881,4
entrance,1742900362.119872,3
left,1742900362.199554,3
left,1742900362.234033,4
left,1742900362.2699711,4
left,1742900362.311997,4
left,1742900412.4783978,4
left,1742900412.5530198,4
left,1742900412.5920153,4
left,1742900412.669909,4
left,1742900413.9757595,4
entrance,1742900415.5790336,4
left,1742900415.7072835,4
left,1742900415.7607174,4
left,1742900415.8199081,4
left,1742900415.8387005,4
left,1742900415.8501105,4
left,1742900415.8690856,4
left,1742900415.9001093,4
left,1742900415.9535842,4
left,1742900415.9848375,4
left,1742900416.02841,4
left,1742900416.2503564,4
left,1742900416.2904348,4
entrance,1742900416.3108127,4
left,1742900416.3711245,3
left,1742900416.4232388,3
left,1742900416.5762706,3
entrance,1742900416.6044333,3
entrance,1742900416.625101,3
left,1742900417.3853693,3
left,1742900417.405529,4
left,1742900417.427162,4
left,1742900417.4475133,4
left,1742900417.4693048,4
