gate_id,epoch_time,trial_id
entrance,1745573477.7235923,7
left,1745573478.2244034,7
entrance,1745574010.0141766,8
left,1745574010.5145454,8
entrance,1745574125.5832183,8
left,1745574126.084042,8
entrance,1745574182.2194107,8
left,1745574182.720151,8
entrance,1745574322.1448257,8
left,1745574322.6456003,8
entrance,1745574325.570635,7
left,1745574326.0710108,7
entrance,1745574775.6449,8
right,1745574776.1456594,8
entrance,1745574780.2994413,7
right,1745574780.7997339,7
entrance,1745575008.895864,7
left,1745575009.3961647,7
entrance,1745575361.1703289,1
left,1745575361.6706214,1
entrance,1745575422.8295176,1
left,1745575423.329873,1
entrance,1745575436.7161133,2
left,1745575437.216403,2
entrance,1745575444.4855597,2
left,1745575444.985901,2
entrance,1745575857.5033867,2
left,1745575858.003864,2
entrance,1745575875.7253442,1
left,1745575876.2257054,1
entrance,1745576231.386927,2
left,1745576231.887687,2
entrance,1745576385.8487773,1
left,1745576386.3492646,1
entrance,1745576585.150066,1
left,1745576585.6509395,1
entrance,1745577177.5186374,4
left,1745577178.0189302,4
entrance,1745577207.8774598,4
left,1745577208.3777544,4
entrance,1745577215.207256,3
left,1745577215.7080004,3
entrance,1745577242.204073,4
left,1745577242.7048926,4
entrance,1745577304.5089426,4
left,1745577305.0092342,4
entrance,1745577345.870587,3
left,1745577346.3711307,3
entrance,1745577639.4838982,3
left,1745577639.98419,3
entrance,1745577734.0007393,4
left,1745577734.50149,4
entrance,1745578033.2802823,3
left,1745578033.7805781,3
entrance,1745578071.6324663,3
left,1745578072.1330178,3
entrance,1745578231.5328894,3
left,1745578232.0355418,3
entrance,1745578255.2324028,4
left,1745578255.7331598,4
entrance,1745578308.929875,4
right,1745578309.4302409,4
entrance,1745578320.2506397,4
left,1745578320.7513938,4
entrance,1745578328.3769367,4
right,1745578328.877747,4
entrance,1745579568.7464812,4
right,1745579569.246771,4
entrance,1745579724.4852865,3
left,1745579724.9864714,3
entrance,1745579978.266109,3
left,1745579978.7669847,3
entrance,1745579989.4752643,3
left,1745579989.9760077,3
entrance,1745580214.2124972,4
left,1745580214.7132525,4
entrance,1745580406.3821878,1
left,1745580406.8824906,1
entrance,1745581004.535067,2
right,1745581005.0358272,2
entrance,1745581006.8783433,2
left,1745581007.378609,2
entrance,1745581284.024551,2
left,1745581284.5250459,2
entrance,1745581292.3130996,1
left,1745581292.8139913,1
entrance,1745581295.5606375,2
right,1745581296.0609221,2
entrance,1745581324.1239383,2
left,1745581324.6246996,2
entrance,1745581333.494347,1
right,1745581333.9952254,1
entrance,1745581431.603993,2
right,1745581432.1042848,2
entrance,1745581440.965007,1
right,1745581441.4660323,1
entrance,1745581480.6731043,1
left,1745581481.1733944,1
entrance,1745581628.065959,2
right,1745581628.5672283,2
entrance,1745581676.698676,2
left,1745581677.1989634,2
entrance,1745581824.9994187,2
right,1745581825.5001667,2
entrance,1745585377.7113,3
left,1745585378.2117565,3
entrance,1745585382.4262838,3
right,1745585382.9270415,3
entrance,1745585385.7269275,3
left,1745585386.2272072,3
entrance,1745585398.353665,4
left,1745585398.8546245,4
entrance,1745585413.4505863,3
left,1745585413.9564707,3
entrance,1745585698.1965935,3
left,1745585698.6968877,3
entrance,1745585700.098337,3
right,1745585700.5986154,3
entrance,1745585789.763191,3
left,1745585790.263993,3
entrance,1745585875.6769655,4
left,1745585876.1778462,4
entrance,1745585965.6487534,4
left,1745585966.1495721,4
entrance,1745585968.416265,4
left,1745585968.9166024,4
entrance,1745586783.9394584,7
left,1745586784.4397495,7
entrance,1745586905.241882,8
left,1745586905.7422824,8
entrance,1745587077.2415743,8
right,1745587077.7425458,8
entrance,1745587284.015879,7
left,1745587284.5161607,7
entrance,1745587286.2085378,7
left,1745587286.7088768,7
entrance,1745587417.4846551,7
right,1745587417.9849722,7
entrance,1745587471.6471174,8
left,1745587472.148875,8
entrance,1745587482.4424865,8
left,1745587482.9427724,8
entrance,1745587681.7779083,7
left,1745587682.2787132,7
entrance,1745588126.5710616,1
right,1745588127.0713582,1
entrance,1745588175.3432944,1
right,1745588175.8439627,1
entrance,1745588210.6531584,2
right,1745588211.1534436,2
entrance,1745588241.6045802,1
left,1745588242.1048586,1
entrance,1745588244.856915,1
left,1745588245.3572476,1
entrance,1745588350.0862849,2
left,1745588350.5871952,2
entrance,1745588489.52791,1
left,1745588490.0282035,1
entrance,1745588805.860922,2
right,1745588806.361218,2
entrance,1745588830.8041034,1
right,1745588831.3044217,1
entrance,1745589447.2498686,2
right,1745589447.7507722,2
entrance,1745589546.3703544,1
right,1745589546.8707922,1
entrance,1745589548.2616255,1
left,1745589548.7619975,1
entrance,1745590414.5318165,4
left,1745590415.032112,4
entrance,1745590429.3613212,4
right,1745590429.8616016,4
entrance,1745590734.426644,3
left,1745590734.9269342,3
entrance,1745590800.6556776,4
right,1745590801.1559696,4
entrance,1745591287.5589204,3
left,1745591288.059249,3
entrance,1745591479.7155719,6
left,1745591480.2158616,6
entrance,1745591517.5589468,5
left,1745591518.0592391,5
entrance,1745591891.7068963,6
left,1745591892.20719,6
entrance,1745591900.7467988,6
left,1745591901.2471416,6
entrance,1745591910.3014753,6
left,1745591910.8019443,6
entrance,1745592228.3328097,6
left,1745592228.8331897,6
entrance,1745592274.5406373,6
left,1745592275.040977,6
