gate_id,epoch_time,trial_id
left,1744791318.6613364,8
entrance,1744791318.850791,8
left,1744791402.6028283,8
left,1744791547.5026858,8
entrance,1744791547.6891074,8
left,1744791575.0065877,8
entrance,1744791575.273039,8
left,1744791616.8080168,7
entrance,1744791616.941671,7
left,1744791624.2586915,8
entrance,1744791624.7034922,8
left,1744791631.5781596,8
entrance,1744791631.7117033,8
left,1744791642.884442,7
entrance,1744791643.190866,7
entrance,1744791812.3462677,8
entrance,1744791812.401171,8
left,1744791812.5500972,8
left,1744791817.764095,8
entrance,1744791818.00253,8
right,1744791842.30191,8
left,1744791844.781069,8
left,1744791844.7976744,8
entrance,1744791844.8107812,8
entrance,1744791844.8389964,8
entrance,1744791844.8729057,8
left,1744791913.2311344,8
left,1744792226.5866518,8
entrance,1744792227.4263349,8
left,1744792233.223558,7
left,1744792241.7790794,7
entrance,1744792241.9457211,7
left,1744792247.832768,7
entrance,1744792247.9785135,7
right,1744792339.7494287,8
entrance,1744792341.2623827,8
entrance,1744792341.2878208,8
entrance,1744792418.7160077,8
left,1744792419.0873063,8
left,1744792419.1071925,8
left,1744792419.123816,8
entrance,1744792424.5432966,8
left,1744792425.2341936,8
left,1744792425.2473974,7
left,1744792425.7114484,7
left,1744792425.7354977,7
entrance,1744792453.8181925,7
entrance,1744792453.8484237,7
entrance,1744792453.8595262,7
entrance,1744792453.8841863,7
entrance,1744792453.8945014,7
left,1744792454.0351593,7
left,1744792454.076997,7
left,1744792454.7037241,7
left,1744792454.7861054,7
left,1744792454.815124,7
left,1744792507.2353492,7
left,1744792518.7411022,7
entrance,1744792519.0156136,7
entrance,1744792574.2723448,8
entrance,1744792574.2911298,8
left,1744792574.394613,8
left,1744792574.421968,8
left,1744792602.6962538,8
entrance,1744792604.1492317,8
right,1744792604.4292889,7
right,1744792604.4786086,7
right,1744792604.521333,7
entrance,1744792604.7306511,7
entrance,1744792604.7575104,7
entrance,1744792812.4532428,7
entrance,1744792838.1518373,7
left,1744792838.337216,7
left,1744792838.3799498,8
entrance,1744792841.3292966,8
left,1744792841.5337894,8
left,1744792841.5525496,8
left,1744792841.5733507,8
entrance,1744792846.9931421,8
left,1744792848.8286357,8
left,1744792848.8438175,8
left,1744792848.8608553,8
left,1744792849.4489436,8
left,1744792870.0315945,8
entrance,1744792878.1211061,8
left,1744793372.6175697,4
entrance,1744793372.6225276,4
left,1744793372.660568,4
entrance,1744793372.6911871,4
left,1744793372.7039158,4
entrance,1744793372.7303512,4
left,1744793372.7424028,4
left,1744793372.879361,4
left,1744793372.9099686,4
left,1744793372.94428,4
left,1744793408.8008149,4
left,1744793408.8273833,4
left,1744793408.850419,4
right,1744793630.2083664,4
right,1744793630.2385986,4
entrance,1744793630.3221004,4
entrance,1744793630.3404915,4
right,1744793630.8148437,4
right,1744793630.8332732,4
entrance,1744793630.9261994,4
left,1744793664.7898734,4
