gate_id,epoch_time,trial_id
right,1743754561.9904795,5
right,1743754576.7219343,5
right,1743754628.0700195,5
right,1743754628.092955,5
entrance,1743754628.2072523,5
entrance,1743754628.2229822,6
left,1743754653.551574,6
left,1743754673.4018023,6
entrance,1743754673.500579,6
left,1743754822.848852,5
left,1743754822.935009,5
left,1743754832.0142553,5
left,1743754959.074976,5
left,1743755234.045234,5
left,1743755566.6129906,5
entrance,1743757239.0023634,3
left,1743757239.1550014,3
left,1743757239.1835036,3
entrance,1743757459.5214865,3
left,1743757459.644352,3
left,1743757459.6742516,3
right,1743757821.0183318,3
entrance,1743757822.1185346,3
left,1743757958.6150298,3
entrance,1743757958.7470434,3
entrance,1743758626.8378623,2
entrance,1743758626.8926306,2
entrance,1743758626.98003,2
left,1743758627.1675282,2
left,1743758627.2026503,2
right,1743759055.2347,2
right,1743759055.2528563,2
entrance,1743759055.3514695,2
entrance,1743759065.403696,1
right,1743759068.654626,1
right,1743759068.684041,1
right,1743759068.7123156,1
left,1743759068.7771907,1
left,1743759068.8116868,1
entrance,1743759089.048575,1
entrance,1743759089.1019034,1
entrance,1743759372.5007522,1
left,1743759372.653197,1
entrance,1743759373.2106962,2
entrance,1743759373.22453,2
left,1743759373.3448617,2
left,1743759373.3714285,2
right,1743759580.3161364,2
right,1743759580.3622668,2
right,1743759591.8872793,2
entrance,1743759592.1918514,2
entrance,1743759592.2096498,1
left,1743759658.7013352,1
entrance,1743759659.0363083,1
entrance,1743759659.057642,2
entrance,1743759659.0725775,2
entrance,1743759816.0166123,2
entrance,1743759816.0314465,2
entrance,1743759816.05908,2
entrance,1743759816.0813363,2
left,1743759816.2286134,2
left,1743759816.2526999,1
entrance,1743759976.54338,1
entrance,1743759976.5749364,1
left,1743759976.6949208,1
right,1743760183.560117,2
right,1743760183.5808764,2
entrance,1743760183.7199082,2
entrance,1743760183.7381673,2
right,1743760253.4502718,2
right,1743760254.7511015,2
right,1743760256.0324519,2
entrance,1743760256.5799146,2
entrance,1743760256.5926983,2
right,1743760675.8323941,5
right,1743760675.906288,5
entrance,1743760676.5848546,5
left,1743761027.9000092,5
entrance,1743761030.3477094,5
entrance,1743761030.4238782,5
left,1743761030.5768912,5
entrance,1743761033.1781538,5
left,1743761033.4586573,5
left,1743761033.4955075,5
entrance,1743761233.9010756,5
right,1743761236.3401978,5
right,1743761236.3785183,5
right,1743761236.6774142,5
right,1743761236.688858,5
right,1743761236.7065825,5
left,1743761249.7047296,5
entrance,1743761250.0146174,5
entrance,1743761309.1376674,5
right,1743761317.2410667,5
left,1743761376.8334992,5
right,1743761379.3295124,5
right,1743761379.3458683,5
right,1743761381.6684556,5
right,1743761382.7282674,5
entrance,1743761382.9067173,5
entrance,1743761638.109374,6
left,1743761638.5960608,6
entrance,1743761771.5605717,6
entrance,1743761771.581297,6
left,1743761771.6976037,6
entrance,1743761841.6435416,5
right,1743763019.7858639,5
right,1743763020.5119102,5
entrance,1743763136.838005,5
left,1743763138.589939,5
right,1743763190.749921,5
right,1743763190.775718,5
entrance,1743763190.9001122,5
left,1743763283.5639646,6
