gate_id,epoch_time,trial_id
right,1744099691.8935032,6
left,1744099697.0443332,6
right,1744099743.782322,6
right,1744099744.8324397,6
entrance,1744099812.49652,6
left,1744099812.6469176,6
left,1744099812.6650586,5
left,1744099812.6796842,5
left,1744099822.7759895,5
entrance,1744099839.2587335,5
entrance,1744099839.274936,5
right,1744099878.8073661,5
left,1744100223.7878022,5
left,1744100223.8212264,5
entrance,1744100251.947644,5
left,1744100252.1103954,5
entrance,1744100498.4173734,6
left,1744100498.8391035,6
right,1744101091.8810453,6
left,1744101143.6031623,6
left,1744101145.0226946,6
left,1744101145.061423,6
entrance,1744101148.5603757,6
left,1744101148.694715,6
left,1744101148.7201452,5
left,1744101277.7735472,5
left,1744101278.0562685,5
right,1744101304.7613428,5
entrance,1744101305.5873554,5
entrance,1744101332.2271268,6
left,1744101332.3471472,6
left,1744101332.3691103,5
right,1744101342.2765498,5
right,1744101342.2884889,5
right,1744101348.5170038,5
right,1744101348.5457735,5
entrance,1744101348.688707,5
right,1744101355.0604713,6
left,1744101361.0345352,6
left,1744101361.1205714,6
entrance,1744101361.414994,6
right,1744101417.5977826,5
right,1744101418.5414515,5
entrance,1744101418.8654237,5
entrance,1744101478.7838092,6
left,1744101479.1937635,6
left,1744101493.419401,5
right,1744101496.9510128,5
right,1744101496.9876783,5
right,1744101536.9975479,5
right,1744101537.453681,5
right,1744101539.0947638,5
right,1744101539.1267831,5
right,1744101539.1581647,5
right,1744101539.1818373,5
right,1744101539.1930044,5
right,1744101539.210085,5
right,1744101539.2296743,5
right,1744101539.2745895,5
right,1744101539.628012,5
entrance,1744101540.910773,5
left,1744101553.855675,6
left,1744101553.868973,6
left,1744101553.9131997,6
right,1744101577.499004,6
right,1744101577.5222225,6
entrance,1744101577.6150017,6
entrance,1744101625.9794717,6
entrance,1744101626.0076494,6
entrance,1744101633.7742515,6
left,1744101633.9375787,6
left,1744101640.5175614,6
right,1744101663.3024611,6
entrance,1744101663.409923,6
entrance,1744101721.1092377,6
left,1744101728.6956577,6
left,1744101728.7324789,6
right,1744101745.553373,6
right,1744101745.5696766,6
entrance,1744101745.665674,6
entrance,1744101804.6129627,5
left,1744101804.740511,5
left,1744101804.767429,5
entrance,1744101846.8956368,5
entrance,1744101846.9366233,5
entrance,1744101846.955577,5
left,1744101847.0932755,5
left,1744101847.1220562,5
right,1744101853.184468,5
right,1744101853.2029433,5
right,1744101855.5267384,5
right,1744101859.2887235,5
right,1744101863.1036654,5
entrance,1744101864.506992,5
entrance,1744101984.521326,6
left,1744101984.6427743,6
left,1744101984.658013,6
left,1744101984.6738055,6
left,1744102003.7143664,6
left,1744102004.1823623,6
entrance,1744102004.8463185,6
entrance,1744102005.748256,5
left,1744102008.284086,5
left,1744102008.3203413,5
left,1744102008.355996,5
left,1744102008.391691,5
left,1744102008.4315903,5
left,1744102008.4703956,5
left,1744102008.5090013,5
left,1744102008.5461578,5
left,1744102009.5703387,5
left,1744102009.7454944,5
left,1744102009.8001328,5
left,1744102017.6625707,5
left,1744102017.7205925,5
left,1744102171.950058,6
left,1744102172.3357728,6
left,1744102172.3722422,6
left,1744102172.4051528,6
left,1744102172.5988922,6
left,1744102172.6433308,6
left,1744102172.6827655,6
left,1744102172.7211711,6
left,1744102172.7569888,6
entrance,1744102172.7651842,6
entrance,1744102172.7784731,6
left,1744102172.7936764,6
left,1744102172.949784,5
left,1744102182.9096613,5
entrance,1744102183.0459769,5
entrance,1744102187.065074,6
left,1744102187.0683324,6
entrance,1744102187.1024048,5
left,1744102187.106576,5
entrance,1744102187.1191118,5
left,1744102187.1248932,5
left,1744102187.1465375,6
left,1744102187.1855457,6
entrance,1744102187.6780212,6
entrance,1744102187.7039735,5
left,1744102187.8318572,5
left,1744102187.8459842,5
left,1744102187.868407,5
left,1744102241.2686977,5
