gate_id,epoch_time,trial_id
entrance,1743156775.3840327,8
entrance,1743156776.4496598,8
entrance,1743156776.4688087,8
right,1743156899.174764,8
right,1743156901.4185688,7
entrance,1743157347.3795924,7
entrance,1743157347.402743,7
left,1743157347.52893,7
right,1743157766.2076416,8
right,1743157766.9218388,8
right,1743157767.0746794,8
entrance,1743157784.7646017,8
entrance,1743157784.7848856,7
left,1743157784.8908465,7
left,1743157784.9093325,7
entrance,1743157873.5406773,7
left,1743157907.1299706,8
left,1743157907.1409009,8
left,1743157953.6269388,8
left,1743157953.9202073,8
left,1743157954.3585227,8
left,1743157954.4195802,8
right,1743158034.437493,8
right,1743158037.023306,8
entrance,1743158037.4288,8
right,1743158057.892769,7
right,1743158058.6646662,7
right,1743158058.8665042,7
entrance,1743158058.8676648,7
entrance,1743158254.746976,3
entrance,1743158254.7704675,3
left,1743158254.8873112,3
left,1743158254.9170446,3
right,1743158522.8006008,3
right,1743158522.8241422,3
right,1743158522.8436487,3
entrance,1743158523.0672698,3
left,1743158678.9248073,3
entrance,1743158679.4693985,3
entrance,1743158679.4875383,3
left,1743158754.7687197,3
entrance,1743158754.875697,3
left,1743158755.1057768,3
left,1743158755.1263692,4
entrance,1743158772.595251,4
entrance,1743158773.0908139,4
entrance,1743158773.1372247,4
entrance,1743158773.1877449,4
left,1743158774.486257,4
left,1743158774.5962589,4
entrance,1743158777.2000794,4
left,1743158777.8395195,3
left,1743158777.8676314,3
right,1743158817.6872525,3
entrance,1743158817.8389652,3
left,1743158920.3318095,4
entrance,1743158922.632284,4
left,1743159018.9163852,3
right,1743159027.2839966,3
entrance,1743159161.8315017,3
left,1743159162.4400103,3
left,1743159162.4534147,3
left,1743159162.4651756,3
left,1743159215.9531515,3
entrance,1743159218.2624583,3
left,1743159218.4542825,4
left,1743159218.4787097,4
left,1743159219.2614348,4
entrance,1743159219.4920595,4
entrance,1743159219.521267,4
entrance,1743159244.2682722,4
left,1743159245.0898132,4
left,1743159245.1772628,4
left,1743159245.2090428,4
entrance,1743159247.063717,4
left,1743159247.1869783,3
left,1743159247.2161613,3
right,1743159467.2017794,3
entrance,1743159596.6324024,3
entrance,1743159596.6663506,4
entrance,1743160247.4574769,4
entrance,1743160247.49095,4
left,1743160247.6532338,4
left,1743160247.6803157,3
left,1743161643.7795742,5
left,1743161645.0262523,5
left,1743161645.3268616,5
entrance,1743161646.3695652,5
left,1743161658.9304664,6
entrance,1743161659.38224,6
