gate_id,epoch_time,trial_id
left,1744877069.5808344,2
entrance,1744877069.7349489,2
entrance,1744877069.7538996,2
right,1744877087.4910414,2
right,1744877087.51263,2
entrance,1744877087.6066499,2
entrance,1744877087.6235743,1
entrance,1744877116.501133,1
left,1744877147.2584352,1
entrance,1744877147.4419348,1
entrance,1744877221.7188215,1
left,1744877221.8937972,1
left,1744877221.904608,2
left,1744877221.930993,2
entrance,1744877232.6300404,2
left,1744877232.8045425,2
left,1744877232.8353696,1
left,1744877265.197133,1
entrance,1744877265.816467,1
entrance,1744877305.7066827,1
right,1744877306.0552003,1
entrance,1744877306.5914564,2
left,1744877410.2575216,2
right,1744877414.9682016,2
entrance,1744877416.7796898,2
right,1744877416.9540029,2
right,1744877416.9866142,2
entrance,1744877417.0818837,2
right,1744877417.5102305,2
entrance,1744877418.0054183,2
right,1744877482.931566,2
right,1744877482.95796,2
right,1744877482.9882498,2
entrance,1744877483.1450818,2
entrance,1744877483.1583965,2
right,1744877533.335925,2
right,1744877533.9691238,2
right,1744877535.7341127,2
right,1744877535.7553418,2
entrance,1744877535.8645887,2
entrance,1744877535.8811812,1
left,1744877995.002747,1
left,1744877995.0223298,1
entrance,1744877995.1315234,1
entrance,1744877995.1525965,2
left,1744878016.5965118,2
entrance,1744878016.7185438,2
entrance,1744878016.7365644,2
entrance,1744878301.0716262,2
entrance,1744878301.4464653,2
entrance,1744878311.6378653,2
left,1744878311.8598106,2
left,1744878311.883889,1
entrance,1744878313.75858,1
entrance,1744878314.7116864,1
left,1744878361.463892,1
left,1744878361.4952323,1
entrance,1744878395.2663832,1
entrance,1744878395.4008412,1
right,1744878395.6867588,1
right,1744878395.7270226,1
right,1744878395.7391,1
right,1744878395.7958992,1
right,1744878395.8510773,1
right,1744878395.8722394,1
entrance,1744878399.4793026,1
left,1744878401.0952947,1
left,1744878401.116389,1
left,1744878401.920214,1
left,1744878401.9436505,1
entrance,1744878416.359639,1
entrance,1744878416.3917675,1
left,1744878416.5349076,1
entrance,1744878478.9167757,1
left,1744878479.3164268,1
left,1744878479.3499098,2
entrance,1744878479.4649704,2
left,1744878510.7674906,1
left,1744878510.7919164,1
entrance,1744878537.4973736,1
entrance,1744878537.5244348,1
left,1744878537.699936,1
left,1744878537.724719,1
entrance,1744878589.3457775,1
entrance,1744878589.4099932,1
left,1744878589.5323465,1
left,1744878589.5510736,1
entrance,1744878589.8194952,1
left,1744878589.952359,2
left,1744878589.9629164,2
left,1744878589.9893615,2
entrance,1744878611.3119538,2
left,1744878616.0078702,2
left,1744878624.0074947,2
left,1744878624.0470037,2
left,1744878624.229253,2
left,1744878624.499225,2
left,1744878624.7917366,2
left,1744878665.4837427,2
left,1744878665.5075743,2
left,1744878667.4046588,2
left,1744878667.689875,2
left,1744878675.5244837,2
left,1744878676.3801546,2
left,1744878676.4140415,2
left,1744878676.5273893,2
left,1744878679.7093947,2
entrance,1744878682.5436294,2
left,1744878684.075679,2
left,1744878691.3525012,2
left,1744878692.9537272,2
left,1744878694.9458125,2
left,1744878697.9929013,2
left,1744878698.3119805,2
entrance,1744878698.4293888,2
left,1744878698.660471,2
left,1744878698.744159,2
left,1744878698.9407568,2
left,1744878699.576238,2
entrance,1744878713.8542004,2
left,1744878768.795995,2
entrance,1744878769.716801,2
left,1744878788.7272897,2
entrance,1744878814.5728002,2
left,1744878814.5772953,2
entrance,1744878814.6003559,2
left,1744878814.6240716,2
left,1744878814.7357566,2
entrance,1744878834.22105,2
entrance,1744878834.488812,2
left,1744878838.4805934,2
left,1744878838.5081995,2
left,1744878893.879085,2
left,1744878893.8917055,2
left,1744878908.4110408,2
entrance,1744878924.472855,2
right,1744878936.8264723,2
right,1744878942.2338417,2
left,1744879167.7184486,3
entrance,1744879168.5699005,3
entrance,1744879168.657668,4
left,1744879198.3522627,4
left,1744879198.3891587,4
left,1744879208.8343804,4
left,1744879209.1542275,4
left,1744879209.177476,4
left,1744879209.3741682,4
left,1744879209.3890092,4
left,1744879209.417066,4
left,1744879209.449845,4
left,1744879210.2931721,4
left,1744879210.333954,4
left,1744879210.3474975,4
left,1744879210.3751569,4
left,1744879212.8833618,4
left,1744879213.1229844,4
