gate_id,epoch_time,trial_id
left,1742482400.0678632,3
left,1742482400.0870616,3
entrance,1742482572.9859896,3
entrance,1742482573.043325,4
entrance,1742482573.0446002,4
left,1742482573.2120123,4
left,1742482573.2266405,3
left,1742482573.2480233,3
entrance,1742482731.4407322,3
left,1742482731.6407394,4
entrance,1742482752.032392,4
entrance,1742483115.7243001,4
entrance,1742483115.7405336,4
left,1742483115.8608325,4
right,1742483185.3393712,3
right,1742483185.3615706,3
entrance,1742483185.4861002,3
entrance,1742483185.5029445,4
entrance,1742483344.0920897,4
entrance,1742483344.1180372,4
left,1742483344.327011,4
left,1742483344.3462079,4
left,1742483344.3599112,4
entrance,1742483345.4421172,4
entrance,1742483345.4784305,4
entrance,1742483345.5133371,4
left,1742483345.7457435,4
entrance,1742483905.5264444,2
entrance,1742483905.5691576,2
right,1742483979.9791448,2
entrance,1742483980.1439295,1
right,1742484097.512023,1
right,1742484120.7996805,2
right,1742484133.7854993,2
left,1742484143.1848946,2
entrance,1742484143.7182665,2
entrance,1742484143.7414954,2
right,1742484148.5013306,2
entrance,1742484148.6349142,1
left,1742484575.4308674,1
left,1742484575.461533,1
left,1742484575.4806986,1
entrance,1742484575.5858152,1
entrance,1742485108.587419,1
entrance,1742485108.6100967,1
left,1742485108.7616577,1
left,1742485108.7812533,2
entrance,1742485110.281651,2
left,1742485110.4094727,1
left,1742485110.4355712,1
entrance,1742485118.2334285,1
entrance,1742485118.2650087,1
left,1742485118.409916,1
left,1742485185.0385597,1
entrance,1742485185.1601105,1
entrance,1742485185.1768806,1
