gate_id,epoch_time,trial_id
entrance,1745311229.9940279,1
left,1745311230.4956455,1
entrance,1745311487.598454,1
left,1745311488.0992837,1
entrance,1745311488.9159634,2
right,1745311489.4162762,2
entrance,1745311939.624773,2
left,1745311940.1257384,2
entrance,1745312178.8531563,1
left,1745312179.3535967,1
entrance,1745313088.4751065,1
left,1745313088.9754305,1
entrance,1745313091.8195581,1
right,1745313092.320036,1
entrance,1745313114.7645571,2
left,1745313115.265341,2
entrance,1745313201.2880747,1
left,1745313201.788376,1
entrance,1745313421.4329464,1
left,1745313421.9339423,1
entrance,1745313499.2897892,2
right,1745313499.7906206,2
entrance,1745313502.3945575,1
right,1745313502.894844,1
entrance,1745313581.860206,1
left,1745313582.3611593,1
entrance,1745313858.0018427,1
right,1745313858.5021539,1
entrance,1745314720.6406953,8
left,1745314721.1416223,8
entrance,1745314725.0901566,7
left,1745314725.5904398,7
entrance,1745314733.6249592,7
right,1745314734.1262255,7
entrance,1745314738.4473808,7
right,1745314738.9476736,7
entrance,1745314798.4164977,8
right,1745314798.917266,8
entrance,1745314957.7958858,8
left,1745314958.2961907,8
entrance,1745314971.4824407,7
left,1745314971.982742,7
entrance,1745314996.9604142,7
left,1745314997.4611828,7
entrance,1745315590.7315176,8
left,1745315591.2322905,8
entrance,1745315671.9302735,7
left,1745315672.4314845,7
entrance,1745316116.8299508,8
left,1745316117.330772,8
entrance,1745316360.962462,8
left,1745316361.4627435,8
entrance,1745316364.01794,8
right,1745316364.5182216,8
entrance,1745317159.3438683,5
left,1745317159.844703,5
entrance,1745317453.8102531,5
left,1745317454.310557,5
entrance,1745317479.2405505,5
left,1745317479.740924,5
entrance,1745317487.0473075,6
left,1745317487.5480793,6
entrance,1745317492.5590973,6
right,1745317493.059874,6
entrance,1745317826.1463137,5
right,1745317826.6466074,5
entrance,1745317942.612049,5
right,1745317943.112348,5
entrance,1745318217.167629,5
right,1745318217.668306,5
entrance,1745318223.1735797,6
left,1745318223.6744962,6
entrance,1745318225.626685,6
left,1745318226.1269681,6
entrance,1745321151.615642,8
right,1745321152.115946,8
entrance,1745321544.2405453,7
left,1745321544.7408369,7
entrance,1745322209.7912116,7
left,1745322210.2915092,7
entrance,1745322358.1738293,7
right,1745322358.67482,7
entrance,1745322362.0036335,8
left,1745322362.503926,8
entrance,1745324989.8252609,2
left,1745324990.3268282,2
entrance,1745325027.35925,1
left,1745325027.8595707,1
entrance,1745325597.3305628,2
right,1745325597.8309388,2
entrance,1745325603.1735132,2
left,1745325603.6743217,2
entrance,1745326092.7122068,1
left,1745326093.2125022,1
entrance,1745326329.4010198,2
left,1745326329.9018247,2
entrance,1745326359.020481,1
right,1745326359.5212636,1
entrance,1745326365.4165182,1
left,1745326365.9171357,1
entrance,1745326383.7430627,2
left,1745326384.244054,2
entrance,1745326815.5320935,5
left,1745326816.0330455,5
entrance,1745326885.3322978,6
left,1745326885.8326414,6
entrance,1745326951.235601,6
left,1745326951.7363758,6
entrance,1745327029.2455952,5
left,1745327029.74637,5
entrance,1745327039.4040835,6
right,1745327039.9052153,6
entrance,1745327765.0123057,6
left,1745327765.513016,6
entrance,1745327792.4260414,6
left,1745327792.9263377,6
entrance,1745328521.1232398,6
left,1745328521.6235437,6
entrance,1745328563.6182804,5
left,1745328564.118576,5
entrance,1745328798.5529811,6
left,1745328799.0541036,6
entrance,1745329064.1465862,5
left,1745329064.647855,5
entrance,1745329088.2604487,5
right,1745329088.7612972,5
entrance,1745329373.9996104,6
left,1745329374.4999075,6
entrance,1745330995.1518188,2
right,1745330995.6521144,2
entrance,1745331001.479718,1
left,1745331001.9804935,1
entrance,1745331006.4494946,1
left,1745331006.9497838,1
entrance,1745331081.3442097,2
left,1745331081.8444989,2
entrance,1745331108.5459852,1
right,1745331109.0462852,1
entrance,1745331110.9992855,2
right,1745331111.4995785,2
entrance,1745332632.4655101,1
left,1745332632.96585,1
entrance,1745332639.890028,2
left,1745332640.3906975,2
